id,question,expected_answer,expected_sources,category
Q001,How should NSCLC be represented in FHIR and mCODE?,"NSCLC should be represented as a cancer diagnosis using a FHIR Condition resource and mCODE Primary Cancer Condition profile when applicable. The representation should link to the patient and use appropriate clinical terminology such as SNOMED CT or ICD coding.",mcode|fhir,diagnosis_modeling
Q002,How should EGFR Exon19del be modeled?,"EGFR Exon19del should be modeled as a genomic finding or variant observation, typically represented using FHIR Observation with genomics profiles and linked to a DiagnosticReport or molecular report. It should include gene, variant nomenclature, specimen, patient, and report context.",genomics_reporting|mcode,genomics_modeling
Q003,Which mCODE profiles are relevant for a molecular biomarker?,"Relevant mCODE profiles may include profiles for cancer condition, genomic variant, tumor marker or biomarker observation, specimen, and diagnostic report depending on the use case.",mcode,profile_selection
Q004,How should a molecular diagnostic report be structured?,"A molecular diagnostic report should be represented with DiagnosticReport linked to Patient, Specimen, and Observations for genomic findings or biomarkers. The report should preserve source, status, effective date, and result references.",fhir|genomics_reporting,molecular_report
Q005,What FHIR resources are needed for an oncology genomics report?,"Typical resources include Patient, Condition, Specimen, DiagnosticReport, and Observation. Additional resources may be used depending on workflow and implementation guide requirements.",fhir|genomics_reporting,molecular_report
Q006,How do US Core profiles relate to mCODE?,"US Core provides base US implementation constraints for common clinical resources. mCODE builds on FHIR and US Core concepts to represent oncology-specific data elements and cancer use cases.",us_core|mcode,architecture
Q007,How should PD-L1 be represented as a biomarker observation?,"PD-L1 should be represented as an Observation or oncology biomarker/tumor marker observation with appropriate code, value, method, specimen, patient, and report links.",mcode|fhir,biomarker_modeling
Q008,How should tumor staging be represented?,"Tumor staging should be represented using oncology staging observations or related mCODE profiles, including stage group and TNM components when available, linked to the cancer condition.",mcode,staging
Q009,What resource links connect patient diagnosis and genomic findings?,"Patient links to Condition for diagnosis; DiagnosticReport links to genomic Observations; Observations may reference Specimen and Patient. The resources together create the oncology-genomics context.",fhir|mcode,resource_relationships
Q010,What should not be answered by this assistant?,"The assistant should not provide clinical treatment recommendations, trial matching, or variant pathogenicity interpretation. It should stay focused on data modeling and representation.",project_scope,safety_scope
Q011,How should a genomic finding be connected to a molecular report?,"A genomic finding Observation should be referenced in DiagnosticReport.result and should include patient and specimen context where available.",genomics_reporting,molecular_report
Q012,What is the role of Specimen in oncology genomics reporting?,"Specimen captures the sample used for molecular testing and links the genomic observations to the biological material tested.",fhir|genomics_reporting,specimen
Q013,How can a cancer diagnosis and molecular result be represented in the same FHIR Bundle?,"A Bundle can include Patient, Condition, Specimen, DiagnosticReport, and Observation entries with references connecting the resources.",fhir|mcode,bundle_design
Q014,When should this assistant say context is insufficient?,"When retrieved sources do not contain enough implementation-guide evidence to answer the modeling question confidently, the assistant should state what information is missing.",evaluation,safety_scope
Q015,How should terminology be used in oncology data modeling?,"Terminology should use appropriate coded systems such as SNOMED CT, LOINC, HGNC, HGVS, ICD, or implementation-guide-specified codes depending on resource and use case.",fhir|mcode|genomics_reporting,terminology
